Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo
45107,14.46,3172460461,40,4
44974,16.66,1668439675,43,3
45149,17.2,3402750943,19,4
45198,14,76524427,1,4
45240,19.78,314237301,6,3
45240,14,77483061,1,4
45107,16.95,2861808341,78,3
45247,18.5,77240998,1,4
45226,8.9,52377533,1,5
45184,18.12,10542701253,50,4
45086,17.45,32339533,1,3
45233,8.7,104563223,1,5
45170,15.88,2216235723,57,4
45240,14,131066678,2,5
45212,10.45,157435285,1,4
45184,14,230067033,3,2
45233,18.45,119635336,1,4
45261,18.65,80467682,1,3
45191,17.24,1967377901,11,4
45261,5,77728085,1,5
45261,14,30139659,1,4
45233,12.87,173226589,2,5
45212,16.8,156831988,1,3
45044,19.02,448233299,6,3
45233,17.91,64874636,3,4
45261,9.15,660208971,8,5
45142,17.88,118574523,4,2
45135,17.86,393909888,22,2
45198,10.49,87394112,1,5
45233,14.41,1355176623,17,5
45247,17.25,213023408,2,5
45254,14.87,597316745,8,5
45079,15.66,2806839855,58,3
45233,15.53,57813538,1,5
45226,15.32,120032068,2,4
45170,15.61,9699154464,147,4
45107,19.06,2361574097,14,3
44995,21.04,240015137,1,3
45198,17.46,40805825,1,5
45065,18.75,108681818,1,1
45261,17.78,577145123,3,4
45254,18.58,9000000,1,4
45205,18.35,149771161,1,3
45142,20.96,122645289,2,3
45261,18.77,682331727,10,3
45247,18.02,5000000,1,2
45261,10.3,99630975,1,4
45233,18.36,413302891,2,3
45261,9.9,119095422,1,4
45135,15.95,21511925,1,2
44988,19.6,1950544317,10,4
45226,14,6500000,1,4
45219,16.55,290601123,1,4
45198,14,66835587,1,4
45240,10.55,56070522,1,5
45219,15.22,251737543,3,4
45212,14,111300078,1,5
45051,16.08,192964365.1,6,1
45282,18.86,73652822,1,5
45093,23.9,127626984,1,3
45170,18.11,6609398781,29,4
45093,18.56,3340458722,11,4
45261,9.33,872648042,10,5
45163,17.89,667475283,3,5
45226,18.45,114960223,1,3
45219,14,144390794,3,4
45198,18.16,7800000,1,4
45023,18.72,760669115,8,3
45261,6.6,574074217,1,4
45212,14.5,87124484.42,1,4
44974,19.51,159147679,2,4
45240,15.82,49554095,2,3
45233,17.75,30906758,2,1
45212,18.02,28854858,1,3
45240,5,709712284,7,5
45212,17.65,134638784,1,4
44967,19.31,4078410493,23,3
45079,17.7,400610387,16,3
45233,5,111201523,2,4
44960,18.66,11149185763,39,4
45205,18.2,123969801,3,3
45142,19.09,289527498,1,5
45100,13.81,13536113006,190,4
45023,23.8,612294367,7,4
44953,17.14,1020105276,12,3
45233,14,114258165,1,3
45254,14,91705618,1,4
45079,24.4,1531074185,10,4
45072,13.94,12036111461,165,4
45072,18.71,4666462231,35,3
45261,14.98,456234424,8,5
45163,17.65,333378029,4,3
45282,7.98,191730717,2,5
45023,20.95,38410213,2,2
45058,21.14,582052698,7,4
45205,18.37,432576792,2,4
45233,17.45,189613512,1,4
45135,19.34,12401551132,70,4
45086,18.43,3775466058,18,3
45261,18.5,69738316,1,1
45261,14.31,121715908,1,4
45219,17.74,7000000,1,2
45205,14,54671507,1,3
45219,16.85,190172692,1,3
45261,16.64,104609439,2,4
45002,16.72,3016373806,16,4
45107,22.35,1490294923,21,4
45030,17.88,1692319852,9,4
45247,13.85,608265193,7,4
