Fecha,Tasa_efectiva_promedio_ponderada,Montos_desembolsados,Numero_de_creditos_desembolsados,Plazo,Valor_promedio_credito
45009,20.56,454869718,3,4,151623239.3
45233,5,34331035,1,5,34331035
45149,16.31,1024985716,28,4,36606632.71
45198,14,44634709,1,4,44634709
45198,17.8,46986081,1,3,46986081
45219,15.86,266525076,4,5,66631269
45135,16.93,11699043817,74,3,158095186.7
45261,5,535797535,6,5,89299589.17
45261,14.46,357528501,5,5,71505700.2
44981,19.65,4831833559,32,3,150994798.7
45212,17.77,74187311,2,4,37093655.5
45233,17.35,110405022,1,4,110405022
45212,18.05,35204288,1,1,35204288
45205,17.35,52432189,1,4,52432189
45219,21.56,61371352,1,3,61371352
45205,9.9,34426085,1,3,34426085
45219,18.05,90491833,1,4,90491833
45282,15.95,287882862,1,4,287882862
45254,19.2,7200000,1,3,7200000
45198,16.04,194505979,3,5,64835326.33
45037,17.55,9837942247,39,4,252254929.4
45219,18.05,791729139,1,4,791729139
45198,5.72,143711412.8,2,3,71855706.41
45261,17.25,43039173,1,3,43039173
45226,17.32,45711707,1,5,45711707
45240,17.46,99053511,1,3,99053511
45170,17.62,3083335444,13,3,237179649.5
44981,16.81,568936722.8,7,4,81276674.69
45282,15.53,805104198,9,4,89456022
45226,18.86,64047566,1,4,64047566
45261,15.33,151570205,2,4,75785102.5
45142,16.99,1517235313,14,4,108373950.9
45219,14.95,135770629,3,5,45256876.33
45254,4.65,208300888,2,4,104150444
45282,14,424130503,4,5,106032625.8
45135,15.78,17105580797,277,5,61752999.27
45044,17.51,3097360284,10,4,309736028.4
45240,18.13,412280269,3,4,137426756.3
45198,14,632758416,6,3,105459736
45282,14,81052333,1,5,81052333
45282,14,123047016,3,4,41015672
45240,14,57006549,1,3,57006549
45233,19,161234267,1,5,161234267
45261,14.31,20621695,1,4,20621695
45226,14,80870725,1,4,80870725
44960,25.09,1028220693,7,4,146888670.4
45002,19.73,1428312501,9,3,158701389
45247,16.75,39918445,1,4,39918445
45261,16.4,339119055,13,1,26086081.15
45002,17.15,1362049094,46,3,29609762.91
45233,15.99,829074289,22,3,37685194.95
45219,18.45,392204759,1,4,392204759
45219,17,8262000,1,1,8262000
45198,15.28,146497461,2,4,73248730.5
45226,15.51,441865961,8,5,55233245.13
45261,19.3,7000000,1,1,7000000
45128,14.52,997961901,12,4,83163491.75
45261,18.02,19032013,1,5,19032013
44946,18.41,8563500424,42,4,203892867.2
44974,20.05,5500000,1,2,5500000
45142,19,2542399867,15,3,169493324.5
45226,14,105640757,1,5,105640757
45233,14,963946408,10,4,96394640.8
45128,16.88,6208352113,46,3,134964176.4
45198,13.42,192160968,2,4,96080484
45142,16.8,639270973,8,4,79908871.63
45212,9.39,372979552,4,5,93244888
45135,18.12,189667429,14,1,13547673.5
45058,20.76,375662411,3,3,125220803.7
45254,8.8,81051313,1,5,81051313
45282,7.7,166589421,2,5,83294710.5
45030,18.4,85698467,1,3,85698467
44946,20.66,119884975,1,3,119884975
45233,14.53,260003641,3,4,86667880.33
45107,14.46,3172460461,40,4,79311511.53
44974,16.66,1668439675,43,3,38800922.67
45149,17.2,3402750943,19,4,179092154.9
45198,14,76524427,1,4,76524427
45240,19.78,314237301,6,3,52372883.5
45240,14,77483061,1,4,77483061
45107,16.95,2861808341,78,3,36689850.53
45247,18.5,77240998,1,4,77240998
45226,8.9,52377533,1,5,52377533
45184,18.12,10542701253,50,4,210854025.1
45086,17.45,32339533,1,3,32339533
45233,8.7,104563223,1,5,104563223
45170,15.88,2216235723,57,4,38881328.47
45240,14,131066678,2,5,65533339
45212,10.45,157435285,1,4,157435285
